artwork_id,artwork_name,author_name
F001,Candás,Antonio Rodriguez Garcia
F002,Fábrica Albo,Antonio Rodriguez Garcia
F003,Fábrica Albo,Antonio Rodriguez Garcia
F004,Paisaje de pueblo,Antonio Rodriguez Garcia
F005,Puerto de Candás,Antonio Rodriguez Garcia
F006,Villa Angelina,Antonio Rodriguez Garcia
F010,Anuncio para conservas Albo,Antonio Rodriguez Garcia
F031,Iglesia de Albandi,Antonio Rodriguez Garcia
F033,Paisaje de Candás,Antonio Rodriguez Garcia
F034,Paisaje con hórreo,Antonio Rodriguez Garcia
F035,Santolaya (Candás),Antonio Rodriguez Garcia
F036,Paisaje de pueblo,Antonio Rodriguez Garcia
F037,Iglesia de Logrezana,Antonio Rodriguez Garcia
F038,Iglesia de Albandi,Antonio Rodriguez Garcia
F039,Paisaje del Regueral,Antonio Rodriguez Garcia
F040,Ermita de San Antonio (Candás),Antonio Rodriguez Garcia
F041,Capilla del Carmen (Luanco),Antonio Rodriguez Garcia
F042,Paseo marítimo Candás,Antonio Rodriguez Garcia
F043,Candás,Antonio Rodriguez Garcia
F044,Ermita de San Roque (Candás),Antonio Rodriguez Garcia
F045,Muro,Antonio Soriano
F046,Hacia el mar,Covadonga Valdés Moré
F058,Candás,Antonio Rodriguez Garcia
F060,Muelle de Candás,Antonio Rodriguez Garcia
F061,Iglesia de Piedeloro,Antonio Rodriguez Garcia
F062,Iglesia,Antonio Rodriguez Garcia
F066,Ascensión,Antonio Rodriguez Garcia
F072,Niño en una silla,Antonio Rodriguez Garcia
F073,Santolaya (Candás),Antonio Rodriguez Garcia
F074,Abside,Antonio Rodriguez Garcia
F075,Candás,Antonio Rodriguez Garcia
F076,Perán,Antonio Rodriguez Garcia
F078,Retrato de Lola,Antonio Rodriguez Garcia
F079,Ermita de San Roque,Antonio Rodriguez Garcia
F080,Niña leyendo,Antonio Rodriguez Garcia
F081,Retrato de Quirina,Antonio Rodriguez Garcia
F082,Pintor sobre rocas,Antonio Rodriguez Garcia
F083,Hórreo y casa de Fuxa (Candás),Antonio Rodriguez Garcia
F084,Paisaje de pueblo,Antonio Rodriguez Garcia
F086,Maternidad y aldeana,Antonio Rodriguez Garcia
F089,Vendedor de periódicos,Antonio Rodriguez Garcia
F096,Retrato de Concha,Antonio Rodriguez Garcia
F099,Retrato de María Prendes,Antonio Rodriguez Garcia
F100,Iglesia,Antonio Rodriguez Garcia
F141,Paisaje,Antonio Rodriguez Garcia
F145,Retrato de Evaristo Rodriguez,Antonio Rodriguez Garcia
F146,Retrato de Puro,Antonio Rodriguez Garcia
F147,Retrato de Juaco Tasita,Antonio Rodriguez Garcia
F148,Retrato de El Chinto,Antonio Rodriguez Garcia
F149,Retrato de Segismundo Garcia,Antonio Rodriguez Garcia
F150,Retrato de Jesús García,Antonio Rodriguez Garcia
F151,Retrato de Carlos Prendes,Antonio Rodriguez Garcia
F152,Retrato de Ramón Castro,Antonio Rodriguez Garcia
F153,Retrato de Constante Gonzalez,Antonio Rodriguez Garcia
F154,Retrato de Jesús García Prendes,Antonio Rodriguez Garcia
F155,Retrato de Raimundo González,Antonio Rodriguez Garcia
F156,Retrato de Braulio Braña,Antonio Rodriguez Garcia
F157,Retrato de Jesús Aja,Antonio Rodriguez Garcia
F158,Retrato de Alvaro Rodriguez,Antonio Rodriguez Garcia
F159,Retrato de José Gonzalez,Antonio Rodriguez Garcia
F160,Retrato de Victorio Rodriguez Garcia,Antonio Rodriguez Garcia
F165,Retrato de Padre Domitilio,Antonio Rodriguez Garcia
F169,Paisaje de Candás,Antonio Rodriguez Garcia
F170,Eugenia de Montijo,Antonio Rodriguez Garcia
F171,Retrato de Príncipe Luis Napoleón,Antonio Rodriguez Garcia
F172,Caricatura de José Francés,Antonio Rodriguez Garcia
F173,Retrato de Concha,Antonio Rodriguez Garcia
F174,Retrato de la madre del artista,Antonio Rodriguez Garcia
F175,Retrato de Benita,Antonio Rodriguez Garcia
F176,Retrato de Josefa,Antonio Rodriguez Garcia
